Membership No  Date Joined  Active  
    67635      2015-7-12    no    
    64187      2020-6-13    no    
    50328      2020-10-1    no    
    65265      2020-1-1     no    
    57082      2015-10-21   no    
    45066      2018-10-8    no    
    16116      2015-5-14    no    
    68365      2020-1-20    no    
    11084      2019-5-12    no    
    50778      2019-6-11    no    
    94729      2017-8-1     no    
    17073      2018-8-7     no    
    71246      2018-2-6     no    
    57245      2015-3-25    no    
    23363      2016-12-1    no    
    69511      2015-5-16    no    
